;s1;s2;s3;s4;s5;s6;s7;s8;s9;s10;s11;s12;s13;s14;s15;s16;s17;s18;s19;s20;s21;S22;S23;S24;S25;S26
s1;0.00;3025.26;700.42;1554.88;6526.00;4169.09;1089.35;3388.84;3333.35;3547.47;6861.40;4349.61;1540.34;3202.44;2757.63;2366.39;8222.08;6740.18;7100.38;4990.00;6355.04;5674.98;4077.21;5861.28;660.13;5006.64
s2;3025.26;0.00;2357.00;1595.35;4432.47;7194.35;1968.07;3349.53;536.65;5401.49;3836.14;1324.35;1517.08;6227.69;5782.89;658.87;6723.69;3811.44;6218.99;1964.74;3329.78;7459.42;1051.95;8879.08;3685.39;8031.90
s3;700.42;2357.00;0.00;904.05;6789.47;4869.51;388.93;2688.43;2665.08;3425.56;6193.14;3681.35;839.92;3902.85;3458.05;1698.13;8922.50;6134.46;7800.79;4321.74;5686.78;6375.40;3408.95;6561.70;1360.55;5707.06
s4;1554.88;1595.35;904.05;0.00;6027.82;5723.98;515.12;2192.24;1903.43;4166.59;5431.49;2919.70;280.66;4757.32;4312.52;936.48;8319.04;5372.81;7814.34;3560.09;4925.13;7229.87;2647.30;7416.17;2215.02;6561.53
s5;6526.00;4432.47;6789.47;6027.82;0.00;6738.85;6400.54;5744.99;4969.12;4983.53;5619.91;3108.12;5949.55;5009.62;4546.52;5091.34;7441.86;1254.94;2692.25;3101.65;5113.56;3314.20;3380.52;6252.18;6113.85;9726.77
s6;4169.09;7194.35;4869.51;5723.98;6738.85;0.00;5258.44;7557.94;7502.44;7696.51;7032.30;8518.70;5709.43;3437.79;4545.36;6535.48;5090.77;7072.63;5220.66;8919.33;7964.33;3424.65;8246.31;1989.36;3867.35;3471.52
s7;1089.35;1968.07;388.93;515.12;6400.54;5258.44;0.00;2299.50;2276.16;3814.49;5804.21;3292.42;450.99;4291.78;3846.98;1309.20;8691.76;5745.53;8187.06;3932.81;5297.85;6764.33;3020.02;6950.63;1749.48;6095.99
s8;3388.84;3349.53;2688.43;2192.24;5744.99;7557.94;2299.50;0.00;3657.61;2051.96;7185.67;4673.88;2080.01;6001.74;4894.16;2690.66;10073.22;4730.03;7492.72;5314.27;6679.31;7120.82;4401.48;9250.13;4048.98;8395.48
s9;3333.35;536.65;2665.08;1903.43;4969.12;7502.44;2276.16;3657.61;0.00;5709.58;4372.79;1861.00;1825.16;6535.78;6090.98;966.96;7260.34;3823.64;6755.64;2501.39;3866.43;7471.62;1588.60;9194.63;3993.48;8339.99
s10;3547.47;5401.49;3425.56;4166.59;4983.53;7696.51;3814.49;2051.96;5709.58;0.00;9237.63;6725.84;4131.98;4701.47;3593.89;4742.62;10783.65;4633.57;6213.08;5222.59;8731.27;5841.18;6453.44;8092.86;4207.60;8534.06
s11;6861.40;3836.14;6193.14;5431.49;5619.91;7032.30;5804.21;7185.67;4372.79;9237.63;0.00;2511.79;5353.22;8997.77;9514.07;4495.01;2887.55;5090.23;4393.18;4076.59;932.03;6812.86;2784.19;5042.94;7521.53;6638.44
s12;4349.61;1324.35;3681.35;2919.70;3108.12;8518.70;3292.42;4673.88;1861.00;6725.84;2511.79;0.00;2841.43;7552.04;7107.24;1983.22;5399.34;2578.44;4894.64;1564.80;2005.44;6226.42;272.40;7554.73;5009.74;8649.23
