;s1;s2;s3;s4;s5;s6;s7;s8;s9;s10;s11;s12;s13;s14;s15;s16;s17;s18;s19;s20;s21;S22;S23;S24;S25;S26
s1;0.000;20.940;4.783;10.949;18.529;14.539;7.927;10.054;19.627;9.565;29.062;28.673;10.912;9.828;7.655;15.385;26.530;19.079;19.499;20.741;33.704;15.796;26.820;17.394;3.862;22.600
s2;20.940;0.000;16.296;11.216;16.724;28.859;13.153;13.509;4.400;14.899;25.422;8.637;10.167;23.276;21.558;5.555;29.242;13.589;22.920;10.953;22.184;21.998;6.739;26.758;24.802;33.832
s3;4.783;16.296;0.000;6.500;19.392;19.322;3.143;9.448;14.844;8.958;31.487;24.934;6.129;13.330;11.156;10.741;30.385;18.408;21.165;19.482;34.807;18.322;23.035;21.219;8.645;27.384
s4;10.949;11.216;6.500;0.000;16.960;25.488;3.357;6.486;9.977;9.989;30.339;19.853;1.897;18.957;16.783;5.660;32.891;15.070;22.281;14.655;33.400;21.171;17.954;25.931;14.811;33.005
s5;18.529;16.724;19.392;16.960;0.000;16.453;17.154;12.119;12.324;10.860;13.587;11.386;15.736;11.812;11.718;13.935;17.296;3.134;6.701;6.944;16.907;8.054;13.022;14.021;16.917;21.095
s6;14.539;28.859;19.322;25.488;16.453;0.000;22.466;20.397;24.753;17.630;16.232;26.597;25.258;7.462;9.636;25.007;11.991;17.003;12.600;20.812;22.199;8.399;26.891;4.564;10.677;8.061
s7;7.927;13.153;3.143;3.357;17.154;22.466;0.000;6.680;11.701;9.348;30.533;21.790;2.985;16.473;14.300;7.597;33.085;15.264;22.475;16.338;33.853;21.366;19.891;24.362;11.788;30.527
s8;10.054;13.509;9.448;6.486;12.119;20.397;6.680;0.000;10.920;3.502;25.498;19.241;5.262;12.935;10.761;8.005;27.379;10.229;16.769;11.303;28.818;15.622;17.382;20.382;13.239;27.456
s9;19.627;4.400;14.844;9.977;12.324;24.753;11.701;10.920;0.000;11.535;24.458;12.379;8.789;19.170;17.452;4.317;28.167;9.189;18.520;7.322;25.926;17.793;10.480;22.652;21.655;29.725
s10;9.565;14.899;8.958;9.989;10.860;17.630;9.348;3.502;11.535;0.000;22.955;19.113;8.764;10.169;7.995;9.968;24.377;10.102;13.767;11.176;26.275;12.621;17.255;17.380;11.267;24.454
s11;29.062;25.422;31.487;30.339;13.587;16.232;30.533;25.498;24.458;22.955;0.000;16.785;29.114;19.457;21.631;26.130;6.291;15.269;11.138;18.455;5.967;15.024;18.684;11.668;25.201;14.524
s12;28.673;8.637;24.934;19.853;11.386;26.597;21.790;19.241;12.379;19.113;16.785;0.000;18.805;21.956;21.863;14.193;20.604;9.594;15.388;7.978;13.547;18.198;1.899;23.468;27.061;28.291
s13;10.912;10.167;6.129;1.897;15.736;25.258;2.985;5.262;8.789;8.764;29.114;18.805;0.000;17.796;15.622;4.612;31.667;13.846;21.057;13.466;32.352;19.947;16.906;24.707;14.774;31.780
s14;9.828;23.276;13.330;18.957;11.812;7.462;16.473;12.935;19.170;10.169;19.457;21.956;17.796;0.000;2.174;19.424;17.055;12.362;11.707;16.171;25.424;6.846;22.250;7.889;7.922;14.963
s15;7.655;21.558;11.156;16.783;11.718;9.636;14.300;10.761;17.452;7.995;21.631;21.863;15.622;2.174;0.000;17.706;19.229;12.268;12.688;16.077;26.893;8.141;22.156;10.063;6.042;17.137
s16;15.385;5.555;10.741;5.660;13.935;25.007;7.597;8.005;4.317;9.968;26.130;14.193;4.612;19.424;17.706;0.000;29.839;10.861;19.256;8.994;27.740;18.146;12.294;22.906;19.246;29.980
s17;26.530;29.242;30.385;32.891;17.296;11.991;33.085;27.379;28.167;24.377;6.291;20.604;31.667;17.055;19.229;29.839;0.000;18.978;10.610;22.164;12.258;13.476;22.503;9.166;22.668;8.233
s18;19.079;13.589;18.408;15.070;3.134;17.003;15.264;10.229;9.189;10.102;15.269;9.594;13.846;12.362;12.268;10.861;18.978;0.000;9.331;3.809;18.589;8.604;9.888;14.571;17.467;21.645
